transaction_id,user_id,timestamp,amount,merchant,city,country,device_type,payment_method,fraud_flag,fraud_reason
4e2ca395-94e8-4d61-bbd7-433f2e6ad829,U105,2026-04-16T16:34:28.728037,1552.97,BestBuy,Chicago,USA,web,wallet,YES,high_amount
c97288f0-d398-4ce9-a049-617935e67243,U109,2026-04-16T16:23:41.906546,480.56,Target,New York,USA,web,upi,NO,normal
926bbeed-ae9a-41d5-aad1-163f0e8aaa04,U107,2026-04-16T16:30:40.456821,1520.43,Nike,Chicago,USA,web,credit_card,YES,high_amount
c395844b-7264-4dcb-95c5-6127c3241b47,U107,2026-04-16T16:30:40.574190,1209.95,Nike,San Francisco,India,tablet,upi,YES,non_usa_transaction
ba923b19-14b9-4e77-8b9c-b08fadc87f44,U108,2026-04-16T16:21:12.958123,1630.32,Walmart,Dallas,USA,tablet,upi,YES,high_amount
375c227e-2a0b-45ff-aaa6-b2add168375c,U105,2026-04-16T16:21:12.998978,1019.68,Target,Chicago,USA,tablet,upi,NO,normal
e801ad80-e66e-4a44-b4a8-5db70bc82dd2,U100,2026-04-16T16:20:40.783801,676.32,Amazon,Houston,Canada,mobile,wallet,YES,non_usa_transaction
5ac9688e-e116-44e5-add5-2530bd78a106,U109,2026-04-16T16:31:10.607884,1603.47,Target,Chicago,USA,tablet,wallet,YES,high_amount
4ee8e173-3ea5-4e50-a59b-c9ac7a24d6f9,U109,2026-04-16T16:31:10.745324,1941.32,Nike,New York,Canada,mobile,debit_card,YES,high_amount
e694bf2b-91fb-4552-81e8-a553932b0391,U105,2026-04-16T16:26:48.925424,1876.09,Walmart,New York,USA,web,wallet,YES,high_amount
d7da6819-c785-4c51-b16a-3a09914a2add,U107,2026-04-16T16:24:10.064578,787.18,Target,Chicago,USA,web,credit_card,NO,normal
c3cedb3d-43b9-43f1-8a52-236ff46d7cd5,U107,2026-04-16T16:46:30.238864,1631.35,BestBuy,Houston,USA,mobile,upi,YES,high_amount
3a5803d0-f0b9-427e-ac36-c533fbf339ad,U103,2026-04-16T16:46:30.241398,106.69,BestBuy,Chicago,USA,mobile,debit_card,NO,normal
57820d98-a1f9-4240-b0ac-33035abe9bf7,U109,2026-04-16T16:45:44.969615,723.06,Amazon,Houston,USA,web,wallet,NO,normal
f26fd22a-a137-4903-9da5-a03ff5ac530a,U100,2026-04-16T16:45:44.977155,420.66,Amazon,Dallas,USA,tablet,upi,NO,normal
a43fa73a-ff37-404d-b5be-b8fc0ae2a1d7,U106,2026-04-16T16:29:46.175350,1890.95,Walmart,New York,USA,mobile,debit_card,YES,high_amount
b58f19b1-0212-446c-adf1-7921f7621904,U100,2026-04-16T16:41:01.034982,538.86,Walmart,Chicago,USA,tablet,debit_card,NO,normal
e6fc6efc-306f-4ec3-b344-364185eec0a5,U109,2026-04-16T16:42:07.643370,816.49,Nike,New York,Canada,tablet,upi,YES,non_usa_transaction
5a394c51-cb68-429c-8233-ebbabb81a564,U103,2026-04-16T16:46:09.118863,1362.5,Target,San Francisco,Canada,mobile,debit_card,YES,non_usa_transaction
0d2b9e0f-031c-430e-84c2-7b02c01b72ac,U101,2026-04-16T16:35:00.701020,217.93,Walmart,San Francisco,India,tablet,debit_card,YES,non_usa_transaction
c0ef93d6-be61-446e-80b9-488efc8df363,U103,2026-04-16T16:24:02.038387,1692.03,Amazon,San Francisco,USA,tablet,credit_card,YES,high_amount
6b70a902-be98-4039-9b70-6d07c7dd8afb,U103,2026-04-16T16:41:10.868145,1747.87,BestBuy,New York,USA,mobile,upi,YES,high_amount
d9fa5ce5-cb16-475e-928a-80cc134df48a,U102,2026-04-16T16:22:31.553864,1283.3,Walmart,Dallas,India,tablet,wallet,YES,non_usa_transaction
961f59d7-fa00-483e-9c6b-af49a8c2281a,U106,2026-04-16T16:27:04.003377,1512.33,Target,San Francisco,USA,tablet,credit_card,YES,high_amount
940178cb-d39b-4afe-bd9b-a5d922a916f0,U108,2026-04-16T16:38:07.715838,1234.64,Target,Houston,Canada,tablet,upi,YES,non_usa_transaction
b3e26f68-8613-4e3a-b28a-64d8502981b2,U103,2026-04-16T16:26:56.945746,1025.6,BestBuy,San Francisco,Canada,tablet,debit_card,YES,non_usa_transaction
535626e4-01a3-4d7e-b9fa-495a9ca0b7dd,U109,2026-04-16T16:24:56.312381,718.84,Walmart,Houston,USA,web,debit_card,NO,normal
b429c841-9149-4c9f-ae68-93e35e278254,U105,2026-04-16T16:46:44.302242,1824.85,Walmart,Houston,Canada,web,credit_card,YES,high_amount
8664b574-8b87-48b9-8530-c684e9f8d027,U109,2026-04-16T16:46:44.310619,1893.4,Nike,Houston,Canada,tablet,wallet,YES,high_amount
565b7846-e657-4d74-a463-3054e5aebed2,U104,2026-04-16T16:22:20.485038,1008.91,Target,San Francisco,USA,tablet,debit_card,NO,normal
b068d4eb-5dc6-42c6-a762-34800cf474f6,U104,2026-04-16T16:34:58.895453,686.95,BestBuy,San Francisco,Canada,web,wallet,YES,non_usa_transaction
7f367452-7250-478b-9044-37e9a3e11ecd,U109,2026-04-16T16:31:53.957435,411.95,Walmart,Dallas,USA,tablet,upi,NO,normal
a7c12702-24eb-4c2a-908d-21547a4fa9b5,U102,2026-04-16T16:21:42.294476,1516.2,BestBuy,San Francisco,USA,tablet,debit_card,YES,high_amount
84810659-99c5-4f26-8a3f-d57d78e1dcd9,U104,2026-04-16T16:37:20.638249,1772.25,Target,Houston,Canada,web,credit_card,YES,high_amount
b7496890-0bbc-403a-a62d-fd1043a3d5c8,U104,2026-04-16T16:39:42.357220,1925.43,Target,New York,USA,tablet,upi,YES,high_amount
47dd10ba-7900-4874-8f1c-49859f76b326,U108,2026-04-16T16:20:22.724521,827.26,Walmart,Houston,USA,tablet,wallet,NO,normal
97997f92-02ee-400c-a116-5212516a4d17,U108,2026-04-16T16:37:31.700114,409.64,Nike,San Francisco,USA,mobile,debit_card,NO,normal
52db2158-bc72-4019-a61d-ef0f4294c870,U106,2026-04-16T16:32:09.918590,1543.02,Nike,Dallas,India,mobile,upi,YES,high_amount
bd6983ff-cf99-4595-8df0-15783c0ae760,U103,2026-04-16T16:28:09.415906,1075.92,Walmart,Chicago,Canada,mobile,debit_card,YES,non_usa_transaction
8a1991c8-6043-4dc9-be0c-058c1cbb23c9,U104,2026-04-16T16:33:05.270289,1725.61,Walmart,Dallas,USA,tablet,credit_card,YES,high_amount
c3174494-f745-4d54-8566-01964d10c7cb,U106,2026-04-16T16:38:20.780024,720.67,BestBuy,San Francisco,Canada,tablet,wallet,YES,non_usa_transaction
80f8a0dc-b76f-45b0-a874-582d713aa3ef,U103,2026-04-16T16:33:09.202091,1810.71,Target,Chicago,USA,tablet,credit_card,YES,high_amount
5e890e1b-9a9a-4cd8-9337-1f670196b8aa,U104,2026-04-16T16:39:30.184789,387.47,Walmart,Chicago,India,mobile,upi,YES,non_usa_transaction
05ef117d-ef10-4ade-bb49-d0d4c060bf8d,U101,2026-04-16T16:25:57.632452,695.84,Nike,San Francisco,USA,tablet,credit_card,NO,normal
72e8b6a6-160e-4dd2-9aa5-fad153d93f7a,U101,2026-04-16T16:25:57.662026,1127.01,Nike,San Francisco,Canada,mobile,wallet,YES,non_usa_transaction
92f31da8-87f1-402e-8bc9-4fcba167f6c4,U108,2026-04-16T16:38:35.841324,457.28,Walmart,Houston,USA,web,debit_card,NO,normal
481c0f3e-8934-4dc3-addd-7daff985635d,U109,2026-04-16T16:22:13.459519,389.64,Walmart,Chicago,USA,mobile,debit_card,NO,normal
f4f637a4-db7c-4b33-9664-f9b45559813e,U105,2026-04-16T16:38:00.673588,1291.9,Nike,New York,USA,web,debit_card,NO,normal
25991233-88ec-48a2-b7c5-2aecb99d9651,U108,2026-04-16T16:34:39.774708,1136.27,Nike,Chicago,USA,mobile,credit_card,NO,normal
5f2eaac4-e15a-4561-b4aa-30430c1ddd75,U104,2026-04-16T16:37:48.789409,1414.67,Target,New York,USA,mobile,wallet,NO,normal
c2793ade-c343-4c51-89a1-2379e5ee96e8,U109,2026-04-16T16:39:49.615614,1412.3,Nike,Chicago,USA,tablet,wallet,NO,normal
a71c35b9-5d39-47d3-b8d5-355479020766,U109,2026-04-16T16:42:18.666011,383.36,Walmart,Houston,USA,web,wallet,NO,normal
1f7d7b95-23e3-4404-92ad-68bf527f7dbd,U106,2026-04-16T16:31:11.609691,1267.76,Amazon,Dallas,USA,mobile,upi,NO,normal
bfe65c68-97d6-476a-9008-1a7b58871729,U104,2026-04-16T16:40:53.677716,1349.06,Nike,Chicago,USA,mobile,wallet,NO,normal
08707fd8-2f6e-451e-af58-001f5da6af66,U107,2026-04-16T16:45:14.786367,1309.95,Walmart,New York,USA,mobile,debit_card,NO,normal
17f35420-bf7f-4ffb-8e3d-faf65f82766d,U109,2026-04-16T16:39:55.522927,1362.92,BestBuy,Houston,USA,tablet,credit_card,NO,normal
df317593-ad15-46cd-8409-dae093ce27c7,U107,2026-04-16T16:45:47.984997,1810.9,Target,Dallas,Canada,web,credit_card,YES,high_amount
8556f645-62f9-46e3-bc9e-c60f676c6d07,U105,2026-04-16T16:45:47.991663,800.88,Walmart,Dallas,USA,tablet,credit_card,NO,normal
991d3dfc-3f1b-4105-90b3-ce45ef07b775,U102,2026-04-16T16:32:03.889156,1864.45,Target,New York,Canada,tablet,upi,YES,high_amount
6e585c77-f20b-4756-a3ce-e4dad108a049,U103,2026-04-16T16:33:26.392321,621.34,Walmart,Houston,USA,mobile,upi,NO,normal
dcd37478-6394-4d22-a544-dbe160039d6c,U108,2026-04-16T16:47:48.665080,67.93,Walmart,San Francisco,USA,web,wallet,NO,normal
4366e8d9-027c-4a44-b7c0-3ea469450f87,U106,2026-04-16T16:37:04.539853,868.34,BestBuy,Dallas,Canada,tablet,credit_card,YES,non_usa_transaction
8ac1f1f9-406b-4e6c-a956-178d4e245b38,U103,2026-04-16T16:31:55.853378,81.6,Walmart,New York,Canada,web,credit_card,YES,non_usa_transaction
c4966fd6-70e9-4979-8278-a3e25ab8760d,U101,2026-04-16T16:30:27.364786,796.72,Target,Chicago,USA,web,wallet,NO,normal
6fb65765-16aa-4566-bdef-78f5861083dd,U101,2026-04-16T16:29:38.069219,1126.74,Amazon,New York,USA,web,upi,NO,normal
40db3047-46cb-417b-a87b-1d9b5a531701,U106,2026-04-16T16:24:43.275197,1677.15,Walmart,San Francisco,USA,mobile,wallet,YES,high_amount
bcf869a5-c32f-43f2-aa3e-58bc51e03267,U104,2026-04-16T16:43:01.872571,1277.72,Nike,New York,India,mobile,wallet,YES,non_usa_transaction
8b8743d9-a17c-404c-9d46-d67cc8569048,U108,2026-04-16T16:40:26.829223,1251.71,Nike,Houston,USA,tablet,credit_card,NO,normal
4fbb8a33-fad3-4ae9-bc76-410a3160f486,U104,2026-04-16T16:40:27.229523,1760.71,Target,San Francisco,USA,tablet,credit_card,YES,high_amount
da8f1459-c515-4d23-a078-ebb89a08612e,U100,2026-04-16T16:41:40.000742,507.44,Walmart,Dallas,Canada,tablet,credit_card,YES,non_usa_transaction
fe76388d-ab6c-4ab9-91f7-67eedfbaaab1,U101,2026-04-16T16:22:07.425177,1558.62,Walmart,San Francisco,Canada,mobile,credit_card,YES,high_amount
